date,keyword,platform,metric
2025-07-06 10:00:00,AI,google_trends,80
2025-07-06 11:00:00,AI,google_trends,71
2025-07-06 12:00:00,AI,google_trends,72
2025-07-06 13:00:00,AI,google_trends,73
2025-07-06 14:00:00,AI,google_trends,71
2025-07-06 15:00:00,AI,google_trends,68
2025-07-06 16:00:00,AI,google_trends,69
2025-07-06 17:00:00,AI,google_trends,67
2025-07-06 18:00:00,AI,google_trends,61
2025-07-06 19:00:00,AI,google_trends,67
2025-07-06 20:00:00,AI,google_trends,63
2025-07-06 21:00:00,AI,google_trends,63
2025-07-06 22:00:00,AI,google_trends,63
2025-07-06 23:00:00,AI,google_trends,67
2025-07-07 00:00:00,AI,google_trends,73
2025-07-07 01:00:00,AI,google_trends,79
2025-07-07 02:00:00,AI,google_trends,83
2025-07-07 03:00:00,AI,google_trends,92
2025-07-07 04:00:00,AI,google_trends,89
2025-07-07 05:00:00,AI,google_trends,92
2025-07-07 06:00:00,AI,google_trends,97
2025-07-07 07:00:00,AI,google_trends,90
2025-07-07 08:00:00,AI,google_trends,91
2025-07-07 09:00:00,AI,google_trends,84
2025-07-07 10:00:00,AI,google_trends,79
2025-07-07 11:00:00,AI,google_trends,74
2025-07-07 12:00:00,AI,google_trends,77
2025-07-07 13:00:00,AI,google_trends,77
2025-07-07 14:00:00,AI,google_trends,76
2025-07-07 15:00:00,AI,google_trends,76
2025-07-07 16:00:00,AI,google_trends,76
2025-07-07 17:00:00,AI,google_trends,67
2025-07-07 18:00:00,AI,google_trends,67
2025-07-07 19:00:00,AI,google_trends,64
2025-07-07 20:00:00,AI,google_trends,63
2025-07-07 21:00:00,AI,google_trends,65
2025-07-07 22:00:00,AI,google_trends,64
2025-07-07 23:00:00,AI,google_trends,68
2025-07-08 00:00:00,AI,google_trends,72
2025-07-08 01:00:00,AI,google_trends,81
2025-07-08 02:00:00,AI,google_trends,95
2025-07-08 03:00:00,AI,google_trends,93
2025-07-08 04:00:00,AI,google_trends,94
2025-07-08 05:00:00,AI,google_trends,94
2025-07-08 06:00:00,AI,google_trends,93
2025-07-08 07:00:00,AI,google_trends,91
2025-07-08 08:00:00,AI,google_trends,89
2025-07-08 09:00:00,AI,google_trends,85
2025-07-08 10:00:00,AI,google_trends,82
2025-07-08 11:00:00,AI,google_trends,71
2025-07-08 12:00:00,AI,google_trends,75
2025-07-08 13:00:00,AI,google_trends,75
2025-07-08 14:00:00,AI,google_trends,79
2025-07-08 15:00:00,AI,google_trends,81
2025-07-08 16:00:00,AI,google_trends,76
2025-07-08 17:00:00,AI,google_trends,71
2025-07-08 18:00:00,AI,google_trends,66
2025-07-08 19:00:00,AI,google_trends,64
2025-07-08 20:00:00,AI,google_trends,67
2025-07-08 21:00:00,AI,google_trends,63
2025-07-08 22:00:00,AI,google_trends,69
2025-07-08 23:00:00,AI,google_trends,72
2025-07-09 00:00:00,AI,google_trends,76
2025-07-09 01:00:00,AI,google_trends,82
2025-07-09 02:00:00,AI,google_trends,86
2025-07-09 03:00:00,AI,google_trends,86
2025-07-09 04:00:00,AI,google_trends,96
2025-07-09 05:00:00,AI,google_trends,99
2025-07-09 06:00:00,AI,google_trends,97
2025-07-09 07:00:00,AI,google_trends,95
2025-07-09 08:00:00,AI,google_trends,92
2025-07-09 09:00:00,AI,google_trends,84
2025-07-09 10:00:00,AI,google_trends,81
2025-07-09 11:00:00,AI,google_trends,77
2025-07-09 12:00:00,AI,google_trends,84
2025-07-09 13:00:00,AI,google_trends,80
2025-07-09 14:00:00,AI,google_trends,81
2025-07-09 15:00:00,AI,google_trends,79
2025-07-09 16:00:00,AI,google_trends,77
2025-07-09 17:00:00,AI,google_trends,77
2025-07-09 18:00:00,AI,google_trends,67
2025-07-09 19:00:00,AI,google_trends,64
2025-07-09 20:00:00,AI,google_trends,60
2025-07-09 21:00:00,AI,google_trends,63
2025-07-09 22:00:00,AI,google_trends,70
2025-07-09 23:00:00,AI,google_trends,69
2025-07-10 00:00:00,AI,google_trends,74
2025-07-10 01:00:00,AI,google_trends,80
2025-07-10 02:00:00,AI,google_trends,96
2025-07-10 03:00:00,AI,google_trends,91
2025-07-10 04:00:00,AI,google_trends,100
2025-07-10 05:00:00,AI,google_trends,95
