phase	files_total	code_like_files	total_mb
0	27	27	0
1	264	264	0
2	289	289	0
3	283	283	0
4	256	256	0
5	285	285	0
6	301	301	0
7	220	220	0
8	409	409	0
9	276	276	0
10	629	629	0
11	754	751	0.02
12	634	634	0
13	509	509	0
14	499	499	0
15	494	494	0
16	309	309	0
17	350	349	0
18	684	684	0
