when	file	reason
$ts	scripts\phase00\INBOX\__init___105_33E16FE7_33E16FE7.py	  File "E:\MAGIC\scripts\phase00\INBOX\__init___105_33E16FE7_33E16FE7.py", line 763     assert ""Hello" -Γÿâ" == soup.p.string              ^^^^^ SyntaxError: invalid syntax
$ts	scripts\phase00\INBOX\__init___5_33E16FE7_33E16FE7.py	  File "E:\MAGIC\scripts\phase00\INBOX\__init___5_33E16FE7_33E16FE7.py", line 763     assert ""Hello" -Γÿâ" == soup.p.string              ^^^^^ SyntaxError: invalid syntax
