repo`troot_path`tD:\MAGIC`tINFO`t
repo`thas_git`tTrue`tPASS`t
python`tvenv_exists`tTrue`tPASS`t
hooks`tpre-commit`tTrue`tPASS`thook file present
receipt`tsbom`toutputs\reports\sbom.json`tPASS`t
receipt`tsli`toutputs\reports\sli_metrics.json`tPASS`t
receipt`tcommit_receipt`toutputs\reports\commit_receipt.txt`tPASS`t
receipt`tmagic_scan_json`toutputs\reports\magic_complete_scan.json`tPASS`t
receipt`trestore_probe`toutputs\reports\restore_probe_receipt.txt`tPASS`t
receipt`tslo`toutputs\reports\slo_enforce.json`tPASS`t
receipt`toffsite_backup`toutputs\reports\offsite_backup_receipt.txt`tPASS`t
receipt`tmagic_scan_tsv`toutputs\reports\magic_complete_scan.tsv`tPASS`t
restore`trestore_receipt_age_days`t0.04`tPASS`t≤7 days
