key	state	note
root	PASS	E:\MAGIC
git	WARN	branch=chore/http-stack-repair; clean=False
python	PASS	Python 3.11.9
phase11_ready	PASS	total=128
ready_sample	FAIL	80 bad
orchestrator	PASS	no FAIL/ERROR
ci_smoke	PASS	present
