repo`troot_path`tD:\MAGIC`tINFO`t
repo`thas_git`tTrue`tPASS`t
python`tvenv`tTrue`tPASS`t
hooks`tpre-commit`tTrue`tPASS`t
receipt`tcommit`toutputs\reports\commit_receipt.txt`tFAIL`t
receipt`tslo`toutputs\reports\slo_enforce.json`tFAIL`t
receipt`tsbom`toutputs\reports\sbom.json`tPASS`t
receipt`ttag`toutputs\reports\tag_receipt.txt`tFAIL`t
receipt`tsli`toutputs\reports\sli_metrics.json`tFAIL`t
receipt`tpush`toutputs\reports\push_receipt.txt`tPASS`t
