date,keyword,platform,metric
2023-03-12,Python,GoogleTrends,86
2023-03-19,Python,GoogleTrends,88
2023-03-26,Python,GoogleTrends,85
2023-04-02,Python,GoogleTrends,74
2023-04-09,Python,GoogleTrends,77
2023-04-16,Python,GoogleTrends,78
2023-04-23,Python,GoogleTrends,78
2023-04-30,Python,GoogleTrends,71
2023-05-07,Python,GoogleTrends,72
2023-05-14,Python,GoogleTrends,72
2023-05-21,Python,GoogleTrends,76
2023-05-28,Python,GoogleTrends,68
2023-06-04,Python,GoogleTrends,71
2023-06-11,Python,GoogleTrends,71
2023-06-18,Python,GoogleTrends,70
2023-06-25,Python,GoogleTrends,67
2023-07-02,Python,GoogleTrends,69
2023-07-09,Python,GoogleTrends,75
2023-07-16,Python,GoogleTrends,71
2023-07-23,Python,GoogleTrends,74
2023-07-30,Python,GoogleTrends,73
2023-08-06,Python,GoogleTrends,72
2023-08-13,Python,GoogleTrends,68
2023-08-20,Python,GoogleTrends,74
2023-08-27,Python,GoogleTrends,76
2023-09-03,Python,GoogleTrends,79
2023-09-10,Python,GoogleTrends,78
2023-09-17,Python,GoogleTrends,81
2023-09-24,Python,GoogleTrends,79
2023-10-01,Python,GoogleTrends,76
2023-10-08,Python,GoogleTrends,79
2023-10-15,Python,GoogleTrends,79
2023-10-22,Python,GoogleTrends,78
2023-10-29,Python,GoogleTrends,74
2023-11-05,Python,GoogleTrends,74
2023-11-12,Python,GoogleTrends,75
2023-11-19,Python,GoogleTrends,73
2023-11-26,Python,GoogleTrends,77
2023-12-03,Python,GoogleTrends,74
2023-12-10,Python,GoogleTrends,72
2023-12-17,Python,GoogleTrends,70
2023-12-24,Python,GoogleTrends,53
2023-12-31,Python,GoogleTrends,58
2024-01-07,Python,GoogleTrends,73
2024-01-14,Python,GoogleTrends,72
2024-01-21,Python,GoogleTrends,77
2024-01-28,Python,GoogleTrends,83
2024-02-04,Python,GoogleTrends,81
2024-02-11,Python,GoogleTrends,79
2024-02-18,Python,GoogleTrends,85
2024-02-25,Python,GoogleTrends,82
2024-03-03,Python,GoogleTrends,82
2024-03-10,Python,GoogleTrends,80
2024-03-17,Python,GoogleTrends,83
2024-03-24,Python,GoogleTrends,75
2024-03-31,Python,GoogleTrends,75
2024-04-07,Python,GoogleTrends,73
2024-04-14,Python,GoogleTrends,79
2024-04-21,Python,GoogleTrends,76
2024-04-28,Python,GoogleTrends,71
2024-05-05,Python,GoogleTrends,74
2024-05-12,Python,GoogleTrends,73
2024-05-19,Python,GoogleTrends,72
2024-05-26,Python,GoogleTrends,73
2024-06-02,Python,GoogleTrends,73
2024-06-09,Python,GoogleTrends,73
2024-06-16,Python,GoogleTrends,70
2024-06-23,Python,GoogleTrends,71
2024-06-30,Python,GoogleTrends,65
2024-07-07,Python,GoogleTrends,69
2024-07-14,Python,GoogleTrends,72
2024-07-21,Python,GoogleTrends,72
2024-07-28,Python,GoogleTrends,66
2024-08-04,Python,GoogleTrends,65
2024-08-11,Python,GoogleTrends,64
2024-08-18,Python,GoogleTrends,70
2024-08-25,Python,GoogleTrends,67
2024-09-01,Python,GoogleTrends,69
2024-09-08,Python,GoogleTrends,69
2024-09-15,Python,GoogleTrends,70
2024-09-22,Python,GoogleTrends,74
2024-09-29,Python,GoogleTrends,71
2024-10-06,Python,GoogleTrends,70
2024-10-13,Python,GoogleTrends,73
2024-10-20,Python,GoogleTrends,74
2024-10-27,Python,GoogleTrends,67
2024-11-03,Python,GoogleTrends,68
2024-11-10,Python,GoogleTrends,72
2024-11-17,Python,GoogleTrends,75
2024-11-24,Python,GoogleTrends,70
2024-12-01,Python,GoogleTrends,73
2024-12-08,Python,GoogleTrends,70
2024-12-15,Python,GoogleTrends,66
2024-12-22,Python,GoogleTrends,51
2024-12-29,Python,GoogleTrends,48
2025-01-05,Python,GoogleTrends,65
2025-01-12,Python,GoogleTrends,65
2025-01-19,Python,GoogleTrends,68
2025-01-26,Python,GoogleTrends,69
2025-02-02,Python,GoogleTrends,69
2025-02-09,Python,GoogleTrends,71
2025-02-16,Python,GoogleTrends,70
2025-02-23,Python,GoogleTrends,70
2025-03-02,Python,GoogleTrends,73
2025-03-09,Python,GoogleTrends,66
2025-03-16,Python,GoogleTrends,71
2025-03-23,Python,GoogleTrends,65
2025-03-30,Python,GoogleTrends,65
2025-04-06,Python,GoogleTrends,62
2025-04-13,Python,GoogleTrends,59
2025-04-20,Python,GoogleTrends,57
2025-04-27,Python,GoogleTrends,56
2025-05-04,Python,GoogleTrends,57
2025-05-11,Python,GoogleTrends,58
2025-05-18,Python,GoogleTrends,59
2025-05-25,Python,GoogleTrends,55
2025-06-01,Python,GoogleTrends,59
2025-06-08,Python,GoogleTrends,63
2025-06-15,Python,GoogleTrends,60
2025-06-22,Python,GoogleTrends,62
2025-06-29,Python,GoogleTrends,56
2025-07-06,Python,GoogleTrends,56
2025-07-13,Python,GoogleTrends,39
2020-07-12,AI,GoogleTrends,8
2020-07-19,AI,GoogleTrends,7
2020-07-26,AI,GoogleTrends,8
2020-08-02,AI,GoogleTrends,8
2020-08-09,AI,GoogleTrends,8
2020-08-16,AI,GoogleTrends,7
2020-08-23,AI,GoogleTrends,8
2020-08-30,AI,GoogleTrends,8
2020-09-06,AI,GoogleTrends,7
2020-09-13,AI,GoogleTrends,8
2020-09-20,AI,GoogleTrends,8
2020-09-27,AI,GoogleTrends,8
2020-10-04,AI,GoogleTrends,8
2020-10-11,AI,GoogleTrends,8
2020-10-18,AI,GoogleTrends,8
2020-10-25,AI,GoogleTrends,7
2020-11-01,AI,GoogleTrends,7
2020-11-08,AI,GoogleTrends,8
2020-11-15,AI,GoogleTrends,8
2020-11-22,AI,GoogleTrends,8
2020-11-29,AI,GoogleTrends,8
2020-12-06,AI,GoogleTrends,8
2020-12-13,AI,GoogleTrends,8
2020-12-20,AI,GoogleTrends,8
2020-12-27,AI,GoogleTrends,8
2021-01-03,AI,GoogleTrends,8
2021-01-10,AI,GoogleTrends,8
2021-01-17,AI,GoogleTrends,9
2021-01-24,AI,GoogleTrends,8
2021-01-31,AI,GoogleTrends,8
2021-02-07,AI,GoogleTrends,8
2021-02-14,AI,GoogleTrends,8
2021-02-21,AI,GoogleTrends,8
2021-02-28,AI,GoogleTrends,8
2021-03-07,AI,GoogleTrends,9
2021-03-14,AI,GoogleTrends,9
2021-03-21,AI,GoogleTrends,9
2021-03-28,AI,GoogleTrends,9
